id	document	label
832119	아니 좋은걸 따라해야지 왜 그걸 따라해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
535804	아니 확실하지도 않은 걸 기사로 내셨네... 삼성에서 저렇게 한다는 말 1도 없었는데요	
751108	예측이 있다~ 를 실화인 것처럼 쓰시면 어떡해요..	
100526	222 제목 보고 뭐지 하면서 들어왔다가 내용보고 당황ㅋㅋㅋ	
963305	그래서 S21이란겨 S30이란겨 보는 저는 너무 불편해요	
255486	왜 이런것만 배워ㅠㅠ	
992129	...갤s10e야 우리 오래 함께하자	
350330	C타입 이어폰도 좋은 걸로 내줬으면 좋겠다	
517274	저러고 애플 욕 먹은 거 모르는 건가..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왜 따라해ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
153893	아 진짜 이러지마	
779003	진짜 짜증나네....	
537442	점점 살기 팍팍해지네요 돈주고 충전기사는 시대라니 ㅠㅍ	
441293	아진짜....삼성마저 그러지 말라구요..	
205528	아니 대체 왜 쓸데없는 걸 따라하는거여	
511287	근데 그래도 샘송은 꽤나 예전부터 씨타입 어댑터를 구성품으로 주지않았나요..? 애플은 씨타입 어댑터를 11프로부터 포함해서 아직 애플을 사용하는 많은 사람들한테는 씨타입 어댑터가 없는데 광고에서 마치 <이미 많은 사람들의 집에 있다>라고 표현해서 욕먹었던 것 같아요!!	
225355	어댑터 없애는 건 어쨌든 원가절감한다는 느낌을 없앨 수 없지만 애플을 사용하는 저는 그래도 삼성으ㄴ 양반이라고 봐요 ㅜ	
613562	아니...아니.....왜 그러세요.....왜....왜....그러시죠...?	
158928	삼성 제발 따라가지말고 뚝심있게 가주세요....	
309539	충전기 비싸요ㅠㅠ 애초에 수명이 2년이라고들 하는데 도대체 왜ㅠㅠ	
802040	그러지마십쇼...	
