id	document	label
357628	아니 그럼 아이폰에서 갤럭시로 바꾸는 사람은 또 사야겠네요... 근데 이쯤되면 애플이 불쌍해질지경 맨날 욕은 먼저 먹고 막상 까놓고보면 다른 회사들도 저러니....	
892084	이어폰 신청하면 무료로 준다는데요??? 걍 기사 제대로 안읽는분 많아보이ㅁ...	
830987	?	
229703	근데 뭐 시장성 원리 아닌가요 충전기 미지급에 욕은 하지만 결국 구매율은 똑같으니ㅋㅋㅋㅋ 삼성도 손해 볼 순 없느니 따라가는 것	
256721	어차피 샘송은 씨타입 호환 되는 거니까 뺀만큼 가격 저렴해지면 이득이긴하겠다	
940669	아니 이어폰이랑 충전기랑 같냐고요~~~!	
914049	아니 이걸 왜 따라하는건가요ㅠㅜㅜㅜㅜ	
693108	갈아타려는 사람들 생각 좀...	
548265	왜빼는데!!!	
521382	아 너무들 하네	
257694	안 좋은 거만 따라해 왜ㅠㅠ	
401966	ㅠㅠ이어폰은 넣어달라구요......	
70561	아니 근데 따라할 거면 비꼬질 말던가 비꼴 거면 따라하질 말던가,,,,	
994828	삼성... 그러지 마 ㅠㅠㅠㅠㅜ	
850496	삼성충전기 자주고장나는데 왜 빼는거임ㅋㅋ	
833629	가격이라도,,, 내려줘,,,,	
496366	따라할게 따로있지 이걸따라하시나요;	
487632	대체 왜 별 쓸데도 없는 것까지 자꾸 따라 하는 걸까? 반응 안 좋은 걸 알 텐데...	
495125	이번 애플 발표회때도 애플이 자랑스럽게 환경을 위해 다른 브랜드도 동참하세요!!라고 말했으니..	
383579	아 진짜 짜증나네요ㅠㅠ	
496705	왜 안좋은 것만 따라하려고 하나....	
470971	환경보호한다는 핑계대면 얼마나 욕먹을라나요	
215080	ㅋㅋㅋㅋㅋㅋㅋㅋ	
606530	애플이 총대 매는 거죠 뭐	
465923	아직 팩트가 아니라 전망 아닌가요...?	
973738	왜저래....에휴...	
46837	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
92053	설마... 이상한 짓하지마ㅜ	
282164	충전기 이어폰 체크 있어서 빼면 각각2만원씩 총4만원 할인했으면 좋겠네요	
38337	아 제발 이러지마	
929455	아니... 충전기는 진짜 폰 사용하는데 필수품인데 그걸 구성에서 빼버리다니 진짜 왜 그래요ㅠㅠㅠㅠ	
989421	현재하는것 처럼 요청하면 무료로 주면 좋은거 같은데여??? 안쓰면 아까우니까..	
367215	아! 요즘에 요청하면 무료로 주나요?	
643681	미국에서는 이어폰을 기본구성에서 빼고 요청하면 준다고 기사에 적어져 있어요!	
763117	아하!^^ 감사합니다~!!	
793636	아니 환경 어쩌고 저쩌고... 하기전에 일단 필요한걸요. 배달시킬때 젓가락 빼달라 하는 것처럼 신청한 사람에 한해서 빼주고 그만큼 가격 절감을 해주던가.... 뭔 기기 팔면서 충전기는 다 빼버리고 이건 환경을 위한거다! 하고 별도 구매 해놓으면 다 장삿속으로만 보여요	
621601	그냥 둘이 합병해라	
827820	아 진짜ㅋㅋㅋ며칠전에 충전기 사러 갔더니 c타입usb 2만원하던거 c타입c타입으로 바뀌고 3만원에 팔길래 설마했는데.. 할거면 버즈처럼 폰구매시 충전기 할인쿠폰이나 할인..	
201294	에이	
997709	근데 삼성은 괜찮지 않나요? 충전기 없어도 하나만 사면 다 호환되는데...	
802690	나쁜 거 따라 하지 마... 샘송	
292504	이어폰이랑 충전기 빼고 가격낮춘다면 괜찮아요충전기야 뭐 사방에 있고 남아도니까... 아이폰은 그게 안되서 그렇지...	
462148	블루투스 충전기는 아직 멀었니 삼성?.. 범위 내에 있으면 충전되게해줘..	
220524	개....소리....	
471218	넌 또 뭐야	
839303	좀...	
901706	아니 좋은걸 따라해야지 왜 그걸 따라해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
964488	아니 확실하지도 않은 걸 기사로 내셨네... 삼성에서 저렇게 한다는 말 1도 없었는데요	
614087	예측이 있다~ 를 실화인 것처럼 쓰시면 어떡해요..	
28668	222 제목 보고 뭐지 하면서 들어왔다가 내용보고 당황ㅋㅋㅋ	
412994	그래서 S21이란겨 S30이란겨 보는 저는 너무 불편해요	
692759	왜 이런것만 배워ㅠㅠ	
680624	...갤s10e야 우리 오래 함께하자	
295366	C타입 이어폰도 좋은 걸로 내줬으면 좋겠다	
887187	저러고 애플 욕 먹은 거 모르는 건가..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왜 따라해ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
391428	아 진짜 이러지마	
298695	진짜 짜증나네....	
972202	점점 살기 팍팍해지네요 돈주고 충전기사는 시대라니 ㅠㅍ	
696729	아진짜....삼성마저 그러지 말라구요..	
978264	아니 대체 왜 쓸데없는 걸 따라하는거여	
789995	근데 그래도 샘송은 꽤나 예전부터 씨타입 어댑터를 구성품으로 주지않았나요..? 애플은 씨타입 어댑터를 11프로부터 포함해서 아직 애플을 사용하는 많은 사람들한테는 씨타입 어댑터가 없는데 광고에서 마치 <이미 많은 사람들의 집에 있다>라고 표현해서 욕먹었던 것 같아요!!	
314491	어댑터 없애는 건 어쨌든 원가절감한다는 느낌을 없앨 수 없지만 애플을 사용하는 저는 그래도 삼성으ㄴ 양반이라고 봐요 ㅜ	
601918	아니...아니.....왜 그러세요.....왜....왜....그러시죠...?	
730738	삼성 제발 따라가지말고 뚝심있게 가주세요....	
672062	충전기 비싸요ㅠㅠ 애초에 수명이 2년이라고들 하는데 도대체 왜ㅠㅠ	
248343	그러지마십쇼...	
734436	어차피 집에많은데 안줘도 ㄱㅊ 가격만 빼준다면	
10085	삼성 뇌절그만해요......이어폰단자 ㅠㅠㅠㅠㅠㅠ	
448857	아 왜 그러는거야 진짜ㅠㅠ	
875205	🤦‍♀️	
493606	아니 어댑터나 이어폰 뺄 거면 가격이라도 낮추든가 ㅋㅋㅋ	
148117	이럴 것 같긴했음...	
802822	기타구성품 빠지고 폰 자체 퀄리티가 좋아지면 만족스러울 듯.. 디자인 ㅠ 좀 더 예쁘게 해서 내줬음 좋겟다	
300379	ㅋㅋㅋㅋㅋㅋㅋㅋ	
800931	근데 이렇게 하더라도 막상 쓸 사람은 쓸듯..나중에 되면 이폰 저폰 다 충전기에 이어폰단자 빼고 출시될거같음ㅠㅠㅠ 만약 그렇게되믄 그냥 강낭콩이랑 공기팟 강제구입하란거여ㅠㅠ	
570343	다 빼라 다 빼 이럴거면 핸드폰도 빼	
939915	아 제발...	
837189	라이트닝-c타입, c타입-c타입 케이블은 몰라도 c타입-USB케이블은 꽤 많지 않나요? 애플 제외하고 거의 다 c타입-USB케이블이라 실제로도 케이블 있으신 분이 많아서 삼성은 따로 구성품으로 안 넣어줘도 괜찮다고 생각해요!	
789550	아아악 빼지마ㅜㅜ	
967816	이어폰만 빼주세요.....폰 바꿀 때 받을 삼성 정품 충전기 생각하며 안 샀는데......ㅠ	
157997	어디서 못된건만 쳐배워가지고.....  이런식이면 갤럭시 갈아타야지	
223659	으이구...	
779902	너네까지 왜이래...	
438602	제발요....🥲	
452895	충전기는 왜...	
757016	아;	
133042	삼성은 빼도 상관없을것같아요 워낙 C타입이 대중화 되어서...	
202681	야... 이게 뭐냐...	
378662	아 쫌;	
628378	으이구 못된 것만 배워서...	
223182	이.딴걸 오ㅑ 따라가 미쳣나 삼성	
990107	애플이랑 니네 뭐하냐..	
612616	흐즈므르..	
573589	??	
309560	아니길 바래.. 삼성...확실한 거 아니잖아 그치...?	
376426	장난해? 난 필요하다고..	
779711	따라하네,,,	
218203	너 왜그래	
424255	와 진짜 너무들한다....	
743254	뭐 별걸 다 따라하네..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
159592	따라할거면 조롱 하지나말지	
148865	아.. 삼성 왜그래.............;	
459361	아 배터리 왜그래 왜 그것까지 따라해	
842312	그래도 c타입이니까 ...	
764270	기존 애플 고객을 유입하는 건 어려워도 기존 안드로이드 이용자한텐 이어폰 말곤 크게 불편할 건 없을 듯 그래도 괘씸해요 가격이나 내리겨 팔지	
238908	"아니 아직 빼지도 않았고 그냥 애플이 뺐으니까 삼성도 그럴거라고 분석된다고 해놓고 제목은 ""뺀다"" 이러면 어떡해욬ㅋㅋㅋㅋ 뭐 결정난줄알았네;"	
717562	근데 갤럭시는 확실히 충전기는 없어도 될 거 같기도 하고... 폰 바꿀때마다 어댑터랑 이어폰 하나씩 공짜로 얻는건 좋긴했는데	
248180	뺄가면 폰 가격좀내려주세요	
671796	예측인 거죠? 근데 왠지 애플에서 빼면 삼성도 뺄 거 같아요.. 어댑터는 빼도 케이블은 줬음 좋겠어요ㅠㅜ	
64674	이어폰은 억지인게 아이폰은 거의 에어팟 출시와 동시에 이어폰단자 없앤거고 삼성은 그래도 무선 이어폰 시장이 충분히 보급된 뒤에 뺀거고그리고 일체형 배터리는 아이폰보다 소니가 먼저였는데아이폰이 맨날 먼저라고 하는 주장은 좀...이런글 맨날 분란만 일으키고 영양가도 없고	
940831	이어폰은 왜여.... 가뜩이나 3.5파이 없어져서 유선쓰려면 그거밖에 없는데	
669955	안돼...	
828167	근데 충전기 너무 많아서... 가격만 싸다면 쓰레기 절감에 좋을 것 같아요.	
438666	야너두?	
437727	왜 자꾸 따라해요 S21로 바꾸려고 했는데 ㅠㅠ S20사야하나	
958383	ㅈㅂ;	
222680	오이잉?	
303960	좋은거 따라하네	
860420	가격만 낮춰준다면...좋아요 충전기 많아서 이어폰도 이제 블투 쓰고	
150792	삼성은 c타입이니 명분이라도 있긴하네요..	
794723	노트10 아직 판매하나요....	
283390	그르즈마라 샘송...	
